brand,breadcrumbs,colour,description,image_url,price,product_id,product_name,reviews,sizes,sku
,,,,//carbon38.com/cdn/shop/files/CARB-YD570-CARIB-24HOL-Mock-Neck-Coreset-Zip-Top-color-Caribou_22676-Edit.jpg?v=1728080336&width=1000,,,Mock Neck Corset Zip Top in Melt,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD6014H-QUIETHRBR-24SS-One-Shoulder-Tank-color-Quiet-Harbor_35847-Edit.jpg?v=1707866923&width=1000,,,One Shoulder Convertible Tank in Heather Melt,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD638A-QUIETHRBR-24SS-Short-Sleeve-Pocket-Tee-color-Quiet-Harbor_44005-Edit.jpg?v=1707846894&width=1000,,,Short Sleeve Pocket Tee,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD658M-GRN-24SS-Long-Sleeve-Wrap-Top-in-melt-color-Acid-Lime_18818.jpg?v=1704005379&width=1000,,,Long Sleeve Wrap Top in Melt,,,
,,,,//carbon38.com/cdn/shop/files/PORT-TOP-CHY-0045-IVRYBLK-GioWaveTop-color-Chantilly-Black_0654-Edit.jpg?v=1710289474&width=1000,,,Gio Wave Top,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD335-HONYSCKLE-24SS-Long-RacerBack-Tank-color-Honeysuckle_36764.jpg?v=1705961345&width=1000,,,Long RacerBack Tank,,,
,,,,//carbon38.com/cdn/shop/files/KRRNL-KR24-4242-MULTIMULTI-Beau-Cardigan-color-Multi_12275-Edit.jpg?v=1727388225&width=1000,,,Beau Cardigan,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD6028-HWTHRNRSE-24SS-Long-Sleeve-Off-Shoulder-Tee-color-Hawthorn-Rose_00862.jpg?v=1706832901&width=1000,,,Long Sleeve Off Shoulder Tee,,,
,,,,//carbon38.com/cdn/shop/files/BW202155-WHITE-1_3.jpg?v=1726189537&width=1000,,,Cooper Classic Cotton Modal Tee,,,
,,,,//carbon38.com/cdn/shop/files/ELEV-EVT-FF-TA719-PNKPINMED-Cosmos-Tank-color-Sun-Kissed-Coral_0360.jpg?v=1692317340&width=1000,,,Cosmos Tank,,,
,,,,//carbon38.com/cdn/shop/files/525-100104W15-BLUEBLUDRK-Rachel-Sailor-Open-Stitch-Pullover-color-Forever-Blue-Multi_39311-Edit.jpg?v=1707781483&width=1000,,,Rachel Sailor Open Stitch Pullover,,,
,,,,//carbon38.com/cdn/shop/products/TERE-2821-9943-BLUEWHI-Terrazzo-TLC-Crop-Top-color-BLUE-MULTI_0319.jpg?v=1675462516&width=1000,,,Terrazzo TLC Crop Top,,,
,,,,//carbon38.com/cdn/shop/files/GOLD-GB351-30-241-NUDENUDLT-Art-Tank-Top-color-White-Sand_38531.jpg?v=1707229363&width=1000,,,Art Tank Top,,,
,,,,//carbon38.com/cdn/shop/files/BA0S066NM-R-GREYHEATHER_V1.jpg?v=1726188578&width=1000,,,Rivington Ribbed Tank,,,
,,,,//carbon38.com/cdn/shop/files/BW202155-BLACK-1_1.jpg?v=1726189632&width=1000,,,Cooper Classic Cotton Modal Tee,,,
,,,,//carbon38.com/cdn/shop/files/VARL-VAR01080-GRNGRNDRK-Davidson-Sweat-color-Cilantro_40116-Edit.jpg?v=1709939133&width=1000,,,Davidson Sweat,,,
,,,,//carbon38.com/cdn/shop/files/CARB-YD6088-PNK-24SS-Off-Shoulder-Raw-Edge-Sweatshirt-color-Honeysuckle_35737.jpg?v=1706202917&width=1000,,,Off Shoulder Raw Edge Sweatshirt in French Terry,,,
,,,,//carbon38.com/cdn/shop/files/BW202119-HEATHERGREY-1_2.jpg?v=1726189744&width=1000,,,Bowery Boxy Tri-Blend Tee,,,
,,,,//carbon38.com/cdn/shop/files/BW202083-BLACK-1_3_024ea5fe-bdd4-421b-8a7c-590e01d35a05.jpg?v=1726189423&width=1000,,,Bowery Boxy Weekend Cotton Tee,,,
,,,,//carbon38.com/cdn/shop/files/BND10288_BLACK_Front_2.jpg?v=1726528864&width=1000,,,Classic Logo Terry Crewneck Sweatshirt,,,
,,,,//carbon38.com/cdn/shop/files/BND10197-BLACK-BANDIER-1_4.jpg?v=1726526455&width=1000,,,Featherweight Tank,,,
,,,,//carbon38.com/cdn/shop/files/BND10203-BLACK-BANDIER-1_2.jpg?v=1726189992&width=1000,,,Rib Crop Short Sleeve,,,
,,,,//carbon38.com/cdn/shop/files/THEU-USW324016-MULTIMULTI-Queens-Boo-Knit-color-Stripe_0286-Edit.jpg?v=1720638026&width=1000,,,Queens Boo Knit,,,
,,,,//carbon38.com/cdn/shop/files/NORMA-ST2236TEA49930-GREYGRYLT-RACER-TAILORED-TERRY-TANK-TOP-color-LIGHT-HEATHER-GREY_0477.jpg?v=1698360255&width=1000,,,RACER TAILORED TERRY TANK TOP,,,
,,,,//carbon38.com/cdn/shop/files/ADID-JG1543-BLKBLK-aSMC-CRO-Hoodie-color-Black_18-Edit.jpg?v=1724100335&width=1000,,,aSMC CRO Hoodie,,,
